# Node-ID	solution type	event type	new arrangement at node	arrangement at parental node
2	exact solution	fusion	PF12624 PF06650 PF16909	PF12624 + PF06650 PF16909
2	exact solution	fusion	PF12796 PF00023 PF00536	PF12796 PF00023 + PF00536
2	exact solution	fusion	PF12796 PF00023 PF00651	PF12796 PF00023 + PF00651
2	exact solution	fusion	PF12796 PF00023 PF13857 PF12796	PF12796 PF00023 + PF13857 PF12796
2	exact solution	fusion	PF12796 PF00632	PF12796 + PF00632
2	exact solution	fusion	PF12796 PF13181	PF12796 + PF13181
2	exact solution	fusion	PF12796 PF13606 PF12796 PF07525	PF12796 PF13606 + PF12796 PF07525
2	exact solution	fusion	PF12796 PF13637 PF13857	PF12796 PF13637 + PF13857
2	exact solution	fusion	PF12796 PF13857 PF07647	PF12796 PF13857 + PF07647
2	exact solution	fusion	PF13181 PF00515	PF13181 + PF00515
2	exact solution	fusion	PF13202 PF00153	PF13202 + PF00153
2	exact solution	fusion	PF13202 PF09279 PF00388 PF00387 PF00168	PF13202 + PF09279 PF00388 PF00387 PF00168
2	exact solution	fusion	PF13358 PF01597	PF13358 + PF01597
2	exact solution	fusion	PF13418 PF01344	PF13418 + PF01344
2	exact solution	fusion	PF13418 PF13415 PF13418	PF13418 PF13415 + PF13418
2	exact solution	fusion	PF13432 PF00076	PF13432 + PF00076
2	exact solution	fusion	PF13637 PF12796 PF05033 PF00856	PF13637 + PF12796 PF05033 PF00856
2	exact solution	fusion	PF13716 PF00621 PF00169 PF07653	PF13716 PF00621 PF00169 + PF07653
2	exact solution	fusion	PF13855 PF00560 PF07679	PF13855 PF00560 + PF07679
2	exact solution	fusion	PF13855 PF00612	PF13855 + PF00612
2	exact solution	fusion	PF13855 PF12799 PF01582	PF13855 PF12799 + PF01582
2	exact solution	fusion	PF13855 PF13306 PF00041	PF13855 PF13306 + PF00041
2	exact solution	fusion	PF13855 PF13306 PF13855 PF00001	PF13855 PF13306 + PF13855 PF00001
2	exact solution	fusion	PF13855 PF13516 PF13855 PF00481	PF13855 PF13516 + PF13855 PF00481
2	exact solution	fusion	PF13857 PF01529	PF13857 + PF01529
2	exact solution	fusion	PF13895 PF00047 PF01582	PF13895 + PF00047 PF01582
2	exact solution	fusion	PF13895 PF07679 PF13927	PF13895 + PF07679 PF13927
2	exact solution	fusion	PF13912 PF00096 PF13912 PF00096 PF12874 PF00096	PF13912 PF00096 PF13912 + PF00096 PF12874 PF00096
2	exact solution	fusion	PF14291 PF05699	PF14291 + PF05699
2	exact solution	fusion	PF15227 PF02263	PF15227 + PF02263
2	exact solution	fusion	PF15292 PF00078	PF15292 + PF00078
2	exact solution	fusion	PF15440 PF09405	PF15440 + PF09405
2	exact solution	fusion	PF16320 PF00542 PF00153	PF16320 PF00542 + PF00153
2	exact solution	fusion	PF16746 PF00169 PF01412 PF00018	PF16746 PF00169 PF01412 + PF00018
2	exact solution	fusion	PF16746 PF00169 PF01412 PF13857	PF16746 PF00169 PF01412 + PF13857
2	exact solution	fusion	PF16746 PF00169 PF01412 PF14604	PF16746 PF00169 PF01412 + PF14604
2	exact solution	single domain emergence	PF01464	
2	exact solution	single domain emergence	PF02129	
2	exact solution	single domain emergence	PF02202	
2	exact solution	single domain emergence	PF02899	
2	exact solution	single domain emergence	PF13175	
2	exact solution	single domain emergence	PF14517	
2	exact solution	single domain loss		PF00468
2	exact solution	single domain loss		PF00692
2	exact solution	single domain loss		PF01242
2	exact solution	single domain loss		PF01281
2	exact solution	single domain loss		PF01457
2	exact solution	single domain loss		PF01491
2	exact solution	single domain loss		PF01551
2	exact solution	single domain loss		PF01725
2	exact solution	single domain loss		PF01923
2	exact solution	single domain loss		PF02033
2	exact solution	single domain loss		PF02178
2	exact solution	single domain loss		PF02195
2	exact solution	single domain loss		PF02271
2	exact solution	single domain loss		PF02285
2	exact solution	single domain loss		PF02320
2	exact solution	single domain loss		PF02567
2	exact solution	single domain loss		PF02585
2	exact solution	single domain loss		PF02686
2	exact solution	single domain loss		PF03171
2	exact solution	single domain loss		PF03670
2	exact solution	single domain loss		PF03850
2	exact solution	single domain loss		PF03879
2	exact solution	single domain loss		PF04275
2	exact solution	single domain loss		PF04695
2	exact solution	single domain loss		PF04856
2	exact solution	single domain loss		PF04931
2	exact solution	single domain loss		PF04939
2	exact solution	single domain loss		PF05283
2	exact solution	single domain loss		PF05434
2	exact solution	single domain loss		PF05486
2	exact solution	single domain loss		PF05768
2	exact solution	single domain loss		PF05821
2	exact solution	single domain loss		PF06110
2	exact solution	single domain loss		PF06374
2	exact solution	single domain loss		PF06581
2	exact solution	single domain loss		PF06783
2	exact solution	single domain loss		PF06809
2	exact solution	single domain loss		PF06859
2	exact solution	single domain loss		PF07086
2	exact solution	single domain loss		PF07225
2	exact solution	single domain loss		PF07264
2	exact solution	single domain loss		PF07347
2	exact solution	single domain loss		PF07855
2	exact solution	single domain loss		PF08040
2	exact solution	single domain loss		PF08168
2	exact solution	single domain loss		PF08213
2	exact solution	single domain loss		PF08265
2	exact solution	single domain loss		PF08320
2	exact solution	single domain loss		PF08660
2	exact solution	single domain loss		PF08806
2	exact solution	single domain loss		PF08991
2	exact solution	single domain loss		PF08997
2	exact solution	single domain loss		PF09138
2	exact solution	single domain loss		PF09174
2	exact solution	single domain loss		PF09415
2	exact solution	single domain loss		PF09745
2	exact solution	single domain loss		PF09764
2	exact solution	single domain loss		PF09776
2	exact solution	single domain loss		PF09791
2	exact solution	single domain loss		PF10157
2	exact solution	single domain loss		PF10167
2	exact solution	single domain loss		PF10170
2	exact solution	single domain loss		PF10180
